Wormbase_Id,gene_name,ID,sequence_1,control_OP50_1,control_OP50_2,sams_1_OP50_1,sams_1_OP50_2,padj,log2FoldChange,pvalue,foldChange,log10padj
WBGene00000190,arf-1.1,F45E4.1,F45E4.1,16.89113334,8.321399101,5631.654114,5304.185301,1.95E-94,8.112548263,2.42E-98,277,93.7102688
WBGene00012757,,Y41C4A.11,Y41C4A.11,117.9634229,156.8051344,53668.60091,27864.08177,9.87E-96,7.675470629,6.12E-100,204,95.00576259
WBGene00021581,clec-70,Y46C8AL.3,Y46C8AL.3,22.67392515,6.417254146,2031.918932,4216.294729,7.67E-47,6.91165245,2.85E-50,120,46.1154198
WBGene00022570,sdz-35,ZC239.12,ZC239.12,5.249399796,0.716949884,1311.238071,368.2345424,5.78E-25,6.570384583,9.67E-28,95,24.23810239
WBGene00018997,,F57B9.3,F57B9.3,0.104296148,0,252.5621254,196.0851145,1.34E-16,6.28714102,7.21E-19,78,15.87369754
WBGene00007872,,C32H11.9,C32H11.9,0.10410391,0,165.5864447,277.8079959,4.73E-16,6.221826933,2.70E-18,75,15.3251802
WBGene00044642,clec-69,F56D6.15,Pseudogene:F56D6.15,2.35399975,2.674267864,365.3285991,540.5415178,7.32E-25,6.206191099,1.27E-27,74,24.13535334
WBGene00003425,msp-10,K07F5.2,K07F5.2,8.674869538,3.297760821,302.3672852,1651.498514,2.05E-21,6.079185268,5.45E-24,68,20.68921904
WBGene00044644,,B0205.13,B0205.13,10.37578593,27.33662764,1498.481734,1657.306953,3.17E-43,5.827980637,1.57E-46,57,42.49962363
WBGene00045416,,Y37H2A.14,Y37H2A.14,65.71323462,99.67443828,7012.553893,4754.443618,1.93E-58,5.739119944,3.59E-62,53,57.71409468
WBGene00017705,,F22E5.6,F22E5.6,8.326691096,2.615359538,995.1487984,279.7451997,1.48E-19,5.667448508,5.40E-22,51,18.83057655
WBGene00020840,spch-3,T27A3.4,T27A3.4,24.45890116,23.71662928,608.6626191,4014.832576,7.26E-22,5.625150985,1.80E-24,49,21.13877892
